"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
1828,"High",397,87.8,3,9,5,1,0
1829,"Low",1021,92.56,28,1,4,0,1
1830,"High",1357,51.72,15,5,6,0,0
1831,"Low",1627,23.3,19,6,10,2,1
1832,"High",1063,66,2,4,4,5,0
1833,"High",1725,40.52,6,8,6,4,0
1834,"High",1772,89.01,3,8,4,3,0
1835,"Low",1046,4.91,7,8,3,4,0
1836,"Low",478,31.42,10,3,0,5,0
1837,"High",727,73.17,5,2,5,4,0
1838,"High",784,20,20,7,0,3,0
1839,"High",165,18.91,1,6,0,4,0
1840,"High",1434,81.54,28,0,0,0,0
1841,"Low",539,33.46,9,0,10,1,0
1842,"High",50,8.43,12,7,7,1,0
1843,"Low",341,52.54,21,8,8,3,1
1844,"Low",1081,12.51,10,7,2,4,0
1845,"Low",827,72.04,16,9,9,1,0
1846,"Low",1166,45.85,7,1,4,3,0
1847,"High",31,0.32,24,7,4,0,0
1848,"High",540,50.67,5,5,7,5,0
1849,"High",1321,14.18,2,0,4,1,0
1850,"High",1292,92.24,13,11,1,4,0
1851,"High",910,12.87,8,2,3,5,0
1852,"Low",104,42.69,2,3,5,2,0
1853,"High",249,1.73,20,2,9,1,0
1854,"High",999,5.63,1,11,7,1,0
1855,"Low",857,72.57,23,2,2,1,0
1856,"Low",245,5.33,20,5,5,3,0
1857,"High",297,76.3,16,10,5,5,0
1858,"Low",641,8.59,28,7,9,3,1
1859,"High",1685,79.58,22,9,9,4,1
1860,"Low",893,89.17,15,3,7,1,0
1861,"Low",509,15.93,2,11,9,3,0
1862,"High",742,52.31,27,8,2,4,0
1863,"High",1206,58.01,24,3,4,1,0
1864,"Low",274,64.31,26,11,7,4,1
1865,"High",32,96.86,16,7,0,1,0
1866,"Low",893,27.85,6,8,10,5,0
1867,"High",1077,52.59,23,10,8,3,0
1868,"High",247,0.42,28,10,7,2,0
1869,"Low",1423,48.83,11,9,10,4,0
1870,"Low",114,80.51,3,5,5,1,0
1871,"High",1248,77.83,5,0,3,4,0
1872,"High",1825,79.34,21,0,2,2,0
1873,"Low",185,2.5,11,9,9,0,0
1874,"High",836,24.4,6,11,3,0,0
1875,"High",804,88.58,10,11,1,5,0
1876,"High",531,60.97,18,4,4,3,0
1877,"High",1002,9.09,26,6,2,1,0
1878,"Low",1439,29.38,2,3,10,3,0
1879,"High",998,3.55,3,1,9,1,0
1880,"Low",167,61.11,26,5,1,3,0
1881,"Low",493,35.7,20,10,7,5,0
1882,"High",1375,40.48,27,1,5,1,0
1883,"Low",173,16.71,30,4,0,2,0
1884,"High",268,37.81,1,5,6,0,0
1885,"Low",1708,37.67,9,5,4,3,0
1886,"High",689,73.79,17,2,10,2,0
1887,"High",1014,45.45,3,5,10,5,0
1888,"Low",969,96.23,16,4,8,5,0
1889,"High",682,48.97,7,6,10,1,0
1890,"Low",1753,65.35,10,11,6,1,0
1891,"High",347,74.09,23,8,0,3,0
1892,"High",74,34.45,17,7,10,4,0
1893,"High",685,92.96,5,5,7,0,0
1894,"High",894,69.39,23,6,2,0,0
1895,"Low",1137,79.88,20,8,1,2,0
1896,"High",614,55.51,14,2,9,0,0
1897,"Low",234,60.09,8,0,9,2,0
1898,"High",1411,75.48,19,5,5,1,0
1899,"High",1244,98.72,28,7,3,3,1
1900,"Low",1073,65.2,11,7,1,4,0
1901,"High",33,91.09,14,5,9,5,0
1902,"High",1499,92.25,2,10,10,3,0
1903,"High",1152,99.67,21,0,3,1,0
1904,"High",842,21.24,28,1,8,5,0
1905,"Low",437,22.21,27,8,7,0,1
1906,"High",1091,45.87,24,3,6,0,0
1907,"High",397,37.54,24,6,10,2,0
1908,"High",82,45.52,19,0,1,3,0
1909,"High",1317,68.62,14,3,9,0,0
1910,"Low",1242,71.02,23,8,2,0,1
1911,"High",1599,81.29,21,10,0,4,0
1912,"High",966,28.25,6,4,9,2,0
1913,"High",101,86,24,2,2,2,0
1914,"High",1326,99.38,11,6,3,1,0
1915,"Low",1569,9.71,22,4,10,1,1
1916,"Low",1831,1.65,16,10,9,0,1
1917,"Low",1731,68.87,13,9,2,3,0
1918,"Low",497,58.41,6,3,2,3,0
1919,"High",526,62.28,7,6,9,0,0
1920,"Low",684,20.58,25,4,7,4,0
1921,"Low",1094,56.42,21,5,3,5,0
1922,"Low",1208,69.41,4,1,6,2,0
1923,"High",452,62.23,12,2,4,1,0
1924,"Low",191,59.42,20,8,1,0,0
1925,"Low",1072,11.44,4,1,6,2,0
1926,"Low",747,86.98,29,9,7,3,1
1927,"Low",1143,95.05,21,10,4,1,0
1928,"High",268,68.22,12,3,1,3,0
1929,"Low",977,10.56,1,10,5,2,0
1930,"Low",200,96.33,26,9,8,3,1
1931,"High",259,66.38,21,7,7,5,0
1932,"High",708,80.4,13,3,1,1,0
1933,"High",371,58.26,20,0,4,2,0
1934,"High",983,4.69,4,2,10,4,0
1935,"High",1177,95.09,2,3,8,0,0
1936,"High",1553,67.62,24,10,10,4,1
1937,"High",872,73.54,8,1,4,5,0
1938,"Low",1122,60.51,4,8,7,3,0
1939,"High",195,91.45,27,0,0,1,0
1940,"High",1797,16.28,28,8,10,2,1
1941,"High",1260,56.36,11,10,7,0,0
1942,"Low",991,82.69,25,6,9,1,1
1943,"High",1458,19.35,12,8,3,0,0
1944,"High",375,37.33,4,10,9,2,0
1945,"Low",1089,82.18,22,3,4,2,0
1946,"High",1516,59.14,23,10,3,4,0
1947,"High",1358,58.34,23,2,7,5,0
1948,"Low",612,82.69,3,11,6,3,0
1949,"Low",506,19.18,17,7,7,4,0
1950,"High",1021,86.51,2,9,10,4,0
1951,"High",153,67.96,20,3,5,4,0
1952,"High",1091,15.83,2,8,2,1,0
1953,"High",24,75.01,11,2,1,5,0
1954,"High",287,11.26,15,8,1,5,0
1955,"High",1764,65.01,7,7,1,2,0
1956,"High",1519,69,22,8,3,3,0
1957,"Low",214,61.22,8,10,3,4,0
1958,"High",1221,70.18,3,6,1,0,0
1959,"High",276,45.74,13,3,6,4,0
1960,"Low",184,14.53,8,0,2,1,0
1961,"Low",1440,30.35,27,2,5,0,1
1962,"Low",612,71.21,30,7,7,3,1
1963,"High",412,4.01,9,4,4,2,0
1964,"High",1615,28.58,15,7,10,2,0
1965,"High",719,63.91,22,8,9,5,0
1966,"Low",1265,69.52,21,5,7,3,0
1967,"High",1417,57.77,1,11,9,2,0
1968,"Low",1632,27.69,29,9,7,5,1
1969,"High",530,49.09,21,4,7,0,0
1970,"Low",1173,89.46,3,6,2,1,0
1971,"Low",1625,87.45,11,8,2,2,0
1972,"High",1183,72.2,4,2,9,1,0
1973,"Low",1831,66.9,29,7,4,4,1
1974,"High",589,28.17,8,5,8,1,0
1975,"Low",1694,99.98,1,3,9,5,0
1976,"High",1354,63.66,10,11,1,2,0
1977,"Low",846,57.2,28,9,2,3,1
1978,"High",1274,13.53,28,3,5,0,0
1979,"High",1459,47.69,6,8,8,0,0
1980,"Low",930,83.53,30,9,6,0,1
1981,"Low",875,37.77,21,4,9,5,0
1982,"Low",395,91.4,25,3,5,3,0
1983,"High",503,80.07,11,6,2,2,0
1984,"Low",1329,12.87,27,8,8,2,1
1985,"High",1149,42.78,8,11,2,2,0
1986,"High",1180,45.28,6,0,8,5,0
1987,"High",1109,94.53,17,6,1,3,0
1988,"High",1139,16.14,17,5,1,5,0
1989,"Low",1313,43.69,21,2,0,3,0
1990,"Low",1819,21.49,7,9,9,3,0
1991,"High",1412,0.34,19,6,6,3,0
1992,"Low",794,43.38,3,10,4,4,0
1993,"Low",941,47,13,1,6,4,0
1994,"High",591,69.04,10,9,8,0,0
1995,"High",1560,87.53,24,10,7,3,1
1996,"High",787,89.42,4,6,5,4,0
1997,"Low",1363,70.91,9,9,4,3,0
1998,"Low",2,7.29,13,7,7,1,0
1999,"Low",67,78.54,5,2,0,1,0
2000,"Low",1598,52,4,1,0,1,0
2001,"Low",1542,48.52,5,3,6,2,0
2002,"Low",1806,90.47,9,1,0,0,0
2003,"High",1820,29.52,3,3,0,0,0
2004,"Low",630,68.44,2,0,6,0,0
2005,"High",6,18.18,1,6,1,0,0
2006,"Low",1156,10.06,20,5,4,1,0
2007,"Low",1400,46.81,12,10,8,4,0
2008,"High",1271,93.98,21,6,1,1,0
2009,"Low",1642,39.45,17,4,5,2,0
2010,"High",806,78.9,13,11,5,5,0
2011,"Low",1330,64.07,26,1,6,0,1
2012,"High",59,66.87,27,0,10,3,0
2013,"High",127,79.14,2,6,0,4,0
2014,"Low",440,64.55,14,5,4,0,0
2015,"Low",1433,37.06,8,1,9,1,0
2016,"High",114,99.57,19,3,4,2,0
2017,"High",124,87.71,2,3,10,5,0
2018,"High",1709,46.06,16,10,6,1,0
2019,"High",912,41.05,2,10,7,1,0
2020,"Low",96,27.04,5,2,7,3,0
2021,"High",160,10.54,23,7,9,5,0
2022,"Low",1030,15.93,15,10,7,0,0
2023,"Low",905,24.74,24,8,3,3,1
2024,"Low",331,93.22,12,0,2,5,0
2025,"Low",1716,18.54,1,6,1,1,0
2026,"Low",1599,8.33,13,1,9,2,0
2027,"High",1232,28.76,3,9,6,0,0
2028,"Low",1230,29.44,14,7,4,3,0
2029,"High",378,60.88,20,1,7,2,0
2030,"High",1476,42.59,30,7,5,5,1
2031,"High",1664,57.88,19,4,1,2,0
2032,"High",1372,10.75,15,8,9,4,0
2033,"High",137,11.34,15,9,2,4,0
2034,"Low",485,34.19,26,5,1,3,0
2035,"Low",103,17.86,22,2,4,3,0
2036,"Low",464,49.44,10,6,8,4,0
2037,"High",895,78.12,4,0,5,0,0
2038,"High",1666,17.35,23,5,6,4,0
2039,"Low",1198,37.29,3,3,7,5,0
2040,"High",1502,87.09,14,8,6,4,0
2041,"Low",1617,30.02,4,2,7,5,0
2042,"High",472,0.04,17,9,1,2,0
2043,"High",1377,40.38,6,6,9,2,0
2044,"Low",472,20.98,14,8,7,5,0
2045,"Low",1163,79.62,4,11,6,2,0
2046,"High",1536,6.75,19,10,3,3,0
2047,"High",152,88.38,24,2,0,0,0
2048,"Low",1205,55.01,12,4,9,1,0
2049,"Low",1214,87.49,16,10,1,0,0
2050,"Low",1263,73.27,29,10,4,0,1
2051,"Low",1685,0.81,24,4,2,2,1
2052,"Low",1328,75.61,17,8,1,0,0
2053,"Low",732,93.17,22,1,3,5,0
2054,"Low",1590,76.9,26,0,3,0,1
2055,"High",948,46.26,18,6,9,5,0
2056,"High",1342,70.74,9,6,2,3,0
2057,"High",920,90.2,18,1,8,4,0
2058,"High",1322,37.47,23,5,4,4,0
2059,"Low",160,28.34,3,6,2,5,0
2060,"High",1576,48.06,11,9,7,1,0
2061,"Low",1026,47.93,9,3,10,3,0
2062,"Low",114,10.22,26,5,4,2,0
2063,"High",763,54.02,28,1,9,3,0
2064,"High",1313,85.61,28,0,8,2,1
2065,"Low",88,92.67,18,2,5,2,0
2066,"Low",1265,71.58,20,5,4,4,0
2067,"Low",1112,93.91,8,0,5,3,0
2068,"High",1048,9.13,10,8,10,3,0
2069,"High",1742,51.08,21,10,2,1,0
2070,"Low",1542,83.12,22,5,8,1,1
2071,"Low",1327,62.37,18,8,5,2,0
2072,"Low",40,80.12,30,4,1,1,0
2073,"Low",1592,8.26,15,8,5,2,0
2074,"High",236,95.06,26,7,9,1,0
2075,"Low",583,46.27,19,6,6,1,0
2076,"Low",1083,36.13,18,6,3,2,0
2077,"Low",1452,52.73,11,10,0,4,0
2078,"High",424,93.1,26,11,3,2,0
2079,"Low",1718,38.15,4,11,7,2,0
2080,"Low",1559,40.31,12,4,2,4,0
2081,"Low",56,73.86,14,1,9,2,0
2082,"High",1716,18.92,9,3,1,3,0
2083,"High",24,53.09,29,11,4,0,0
2084,"High",1089,99.26,15,11,6,1,0
2085,"High",1820,55.19,12,2,0,5,0
2086,"High",1663,85.39,13,4,1,4,0
2087,"Low",1543,20.69,7,9,7,3,0
2088,"High",575,22.28,15,5,6,3,0
2089,"Low",649,46,8,5,10,0,0
2090,"High",363,47.04,1,10,6,0,0
2091,"Low",861,87.29,10,4,9,4,0
2092,"High",501,53.33,18,8,1,4,0
2093,"Low",1678,7.85,21,4,6,3,0
2094,"High",1230,93.74,8,9,4,5,0
2095,"High",824,51.98,7,11,0,2,0
2096,"Low",1337,60.68,29,4,3,1,1
2097,"High",1132,52.82,13,3,10,4,0
2098,"Low",1143,77.05,20,7,10,5,1
2099,"Low",259,76.25,28,5,8,1,1
2100,"High",1770,62.72,9,8,5,5,0
2101,"Low",254,52.6,20,4,1,2,0
2102,"High",1431,64.25,17,7,6,1,0
2103,"Low",383,99.11,15,4,8,0,0
2104,"High",163,28.9,26,9,3,5,0
2105,"High",1222,59.87,29,2,5,4,0
2106,"Low",555,32.51,17,0,9,5,0
2107,"High",734,62.28,20,11,4,0,0
2108,"Low",981,80.73,26,2,8,3,1
2109,"High",1146,45.9,12,2,2,5,0
2110,"Low",20,50.95,24,6,1,3,0
2111,"High",549,45.78,10,11,1,0,0
2112,"High",421,67.48,15,11,2,1,0
2113,"High",1204,3.7,6,0,6,0,0
2114,"High",88,43.88,22,5,9,1,0
2115,"Low",1484,77.94,2,7,2,2,0
2116,"High",729,63.88,20,5,2,2,0
2117,"High",796,69.26,1,6,4,1,0
2118,"High",365,50.15,10,0,2,3,0
2119,"High",1282,23.88,24,8,1,2,0
2120,"High",1611,91.32,8,0,2,0,0
2121,"Low",151,83.18,30,9,0,5,0
2122,"Low",528,0.32,20,1,4,2,0
2123,"High",599,59.36,7,9,3,5,0
2124,"Low",1797,34.44,3,4,0,5,0
2125,"Low",438,38.77,20,2,8,4,0
2126,"High",344,42.45,10,7,8,2,0
2127,"High",1127,84.14,16,3,9,4,0
2128,"Low",1782,0.61,15,0,7,0,0
2129,"High",1085,36,9,10,3,1,0
2130,"Low",689,89.02,6,6,2,4,0
2131,"High",604,36.09,26,2,6,2,0
2132,"High",271,79.11,22,7,5,4,0
2133,"Low",1575,93.83,25,11,4,0,1
2134,"High",1586,87.07,24,6,0,1,0
2135,"High",1057,40.18,1,6,1,5,0
2136,"High",1270,17.53,4,9,10,2,0
2137,"High",347,8.78,13,5,2,3,0
2138,"Low",1126,27.86,8,7,0,5,0
2139,"High",331,37.16,1,0,2,5,0
2140,"High",382,94.3,20,1,0,2,0
2141,"Low",1466,1.6,6,7,7,1,0
2142,"High",199,41.24,1,4,5,5,0
2143,"High",353,23.45,23,4,7,3,0
2144,"High",1332,94.87,22,10,0,3,0
2145,"High",1520,51.11,19,10,6,3,0
2146,"High",1629,56.7,14,5,8,1,0
2147,"High",21,71.42,30,9,1,1,0
2148,"High",1141,78.65,23,9,9,3,0
2149,"Low",1,12.72,27,4,3,0,0
2150,"Low",1258,24.5,4,9,8,3,0
2151,"Low",569,11.91,21,0,7,1,0
2152,"Low",1006,11.8,20,9,3,5,0
2153,"High",1822,64.14,3,11,4,4,0
2154,"High",84,0.96,22,9,3,1,0
2155,"High",447,47.16,15,11,4,1,0
2156,"Low",1038,74.4,10,11,10,1,0
2157,"High",67,18.1,13,8,1,3,0
2158,"High",1506,12.37,9,1,4,5,0
2159,"High",109,24.32,11,10,0,5,0
2160,"Low",908,40.8,10,3,3,5,0
2161,"High",1386,98.71,26,4,1,1,0
2162,"Low",152,17.28,15,7,1,5,0
2163,"High",1038,81.72,3,11,4,4,0
2164,"Low",1417,6.75,14,10,9,1,0
2165,"High",200,33.52,26,1,9,3,0
2166,"High",131,94.46,3,10,2,4,0
2167,"High",1073,10.36,20,3,9,3,0
2168,"High",620,36.43,9,2,10,0,0
2169,"High",1591,0.61,5,10,3,2,0
2170,"Low",158,37.54,14,11,10,0,0
2171,"Low",190,63.75,26,6,5,4,1
2172,"Low",1633,34.44,29,7,6,1,1
2173,"Low",1435,52.42,17,3,10,1,0
2174,"Low",1056,24.58,6,0,4,4,0
2175,"High",344,58.37,18,7,9,1,0
2176,"High",188,35.73,27,0,3,1,0
2177,"Low",951,29.58,13,6,10,0,0
2178,"Low",1261,75.85,22,7,1,2,0
2179,"High",1795,40.15,28,0,0,1,0
2180,"High",1731,10.76,20,1,3,2,0
2181,"Low",1128,95,20,7,4,4,0
2182,"High",1798,39.95,25,2,1,5,0
2183,"High",578,16.32,10,10,9,0,0
2184,"High",1755,49.96,2,10,2,2,0
2185,"Low",1681,77.32,22,6,0,3,0
2186,"Low",77,78.56,16,7,7,5,0
2187,"Low",165,11.11,28,7,2,5,0
2188,"Low",520,86.68,26,11,3,0,1
2189,"Low",220,9.59,5,11,1,2,0
2190,"High",397,2.68,22,11,7,0,0
2191,"High",139,92.57,21,8,7,4,0
2192,"High",1035,17.23,6,2,1,4,0
2193,"High",1397,57.44,3,5,4,4,0
2194,"Low",1826,88.81,29,7,9,1,1
2195,"Low",1437,97.93,9,1,7,2,0
2196,"High",1527,46.2,26,4,8,2,1
2197,"High",1737,97.65,19,10,9,3,0
2198,"High",1030,2.06,18,11,8,2,0
2199,"Low",740,99.05,2,8,0,0,0
2200,"High",1613,95.79,17,10,1,1,0
2201,"High",568,3.73,15,4,4,3,0
2202,"High",701,71.29,13,4,2,1,0
2203,"High",1363,48.82,9,11,8,0,0
2204,"High",1637,95.88,8,1,8,4,0
2205,"Low",639,74.4,29,2,8,4,1
2206,"Low",1636,67.63,15,8,2,4,0
2207,"Low",1555,38.98,29,8,10,0,1
2208,"Low",904,98.47,22,1,4,2,0
2209,"Low",616,20.21,24,7,8,1,1
2210,"Low",1695,2.62,9,7,10,0,0
2211,"High",227,57.21,22,7,5,4,0
2212,"Low",1416,7.49,17,7,1,1,0
2213,"High",1003,18.01,16,4,8,5,0
2214,"High",1029,38.39,12,7,1,2,0
2215,"High",574,51.74,21,10,4,5,0
2216,"Low",990,56.31,15,9,4,3,0
2217,"High",1304,0.9,3,2,10,1,0
2218,"High",737,37.35,21,0,7,1,0
2219,"High",728,29.23,14,3,3,5,0
2220,"High",868,88.97,18,4,1,3,0
2221,"High",146,66.05,16,0,7,2,0
2222,"Low",870,92.33,4,1,0,0,0
2223,"Low",992,60.42,1,8,5,0,0
2224,"Low",1650,10.82,8,0,10,3,0
2225,"Low",426,78.39,25,10,10,5,1
2226,"High",1513,14.94,16,10,6,3,0
2227,"Low",1545,65.4,8,5,2,5,0
2228,"Low",292,81,20,8,10,4,0
2229,"Low",665,1.21,7,10,1,5,0
2230,"High",1502,72.75,26,6,6,1,1
2231,"High",1160,71.96,16,8,1,3,0
2232,"Low",46,30.32,28,6,8,1,1
2233,"High",126,29.35,22,8,1,1,0
2234,"High",895,50.59,24,2,1,1,0
2235,"Low",136,37.35,8,7,5,2,0
2236,"Low",77,34.45,6,8,9,4,0
2237,"Low",418,59.36,27,1,9,1,1
2238,"High",248,29.28,10,2,3,0,0
2239,"High",1024,54.34,20,1,5,3,0
2240,"Low",643,56.71,18,6,6,3,0
2241,"High",551,44.99,29,0,10,2,0
2242,"High",846,36.77,7,1,2,1,0
2243,"Low",708,3.94,4,0,10,3,0
2244,"Low",1067,62.05,30,8,5,3,1
2245,"Low",353,82.44,19,9,1,5,0
2246,"Low",744,29.76,13,9,0,4,0
2247,"High",1220,9.66,23,11,5,3,0
2248,"Low",1381,36.8,28,7,9,1,1
2249,"High",1725,14.78,13,6,6,2,0
2250,"High",1467,32.43,23,1,10,1,0
2251,"High",760,36.78,5,1,5,5,0
2252,"Low",794,84.84,30,8,5,1,1
2253,"High",1427,46.85,23,0,9,3,0
2254,"Low",311,3.9,17,9,9,4,0
2255,"High",1162,45.53,27,0,7,3,0
2256,"High",1412,46.67,30,8,1,0,1
2257,"High",1185,29.62,10,1,3,0,0
2258,"High",811,96.18,4,1,1,0,0
2259,"Low",1145,68.05,12,11,6,3,0
2260,"High",271,97.17,16,5,2,0,0
2261,"High",140,99.89,26,5,6,2,0
2262,"High",55,27.02,12,8,1,5,0
2263,"Low",1380,92.28,4,9,10,5,0
2264,"High",1560,60.46,17,10,7,2,0
2265,"High",230,47.42,18,10,7,5,0
2266,"High",117,2.93,10,7,2,1,0
2267,"Low",1267,39.8,22,4,8,5,1
2268,"High",708,95.18,28,9,5,1,1
2269,"High",725,39.18,28,6,0,3,0
2270,"Low",1510,8.99,30,1,4,0,1
2271,"Low",368,7.44,13,10,0,1,0
2272,"High",1000,75.97,21,6,1,0,0
2273,"High",928,99.69,28,0,1,4,0
2274,"Low",994,77.28,30,6,6,2,1
2275,"High",537,89.68,9,4,2,3,0
2276,"Low",1740,16.57,12,2,7,3,0
2277,"High",51,45.21,29,6,3,0,0
2278,"Low",1418,26.06,28,4,2,4,1
2279,"Low",982,80.11,2,2,5,5,0
2280,"Low",1467,6.84,9,0,3,0,0
2281,"High",589,16.06,24,1,2,0,0
2282,"High",1753,48.52,17,4,4,2,0
2283,"High",1374,96.21,26,3,8,3,1
2284,"High",182,85.6,14,9,9,1,0
2285,"High",1095,21.52,28,1,3,4,0
2286,"Low",138,91.94,27,7,8,5,1
2287,"Low",730,8.05,28,7,5,1,1
2288,"Low",492,82.15,24,11,3,3,1
2289,"Low",1012,12.32,22,2,10,5,0
2290,"Low",1413,90.08,6,7,3,0,0
2291,"High",1188,94.36,13,6,1,2,0
2292,"Low",57,70.09,30,9,7,4,1
2293,"High",1690,99.57,11,8,0,0,0
2294,"Low",472,84.01,14,7,7,5,0
2295,"Low",679,15.48,29,7,5,0,1
2296,"High",528,51.29,7,9,7,4,0
2297,"Low",1773,78.03,1,2,3,2,0
2298,"High",1423,77.67,17,1,10,1,0
2299,"High",902,3.96,26,6,7,5,0
2300,"Low",1238,11.05,7,10,4,0,0
2301,"Low",181,25.95,1,1,7,1,0
2302,"High",1186,17.27,21,8,0,5,0
2303,"Low",936,99.97,20,2,6,0,0
2304,"Low",1655,83.57,1,9,7,3,0
2305,"High",588,62.85,20,4,4,0,0
2306,"High",1368,8.44,23,1,10,2,0
2307,"Low",765,8.79,25,3,4,5,0
2308,"High",204,11.51,4,2,8,1,0
2309,"Low",1529,37.72,21,10,2,1,1
2310,"High",452,57.21,22,6,6,3,0
2311,"Low",1105,38.61,21,8,0,4,0
2312,"High",1080,20.41,11,9,8,0,0
2313,"High",83,48.26,9,5,0,2,0
2314,"Low",931,76.05,29,2,5,1,1
2315,"High",214,7.55,26,6,3,3,0
2316,"Low",1284,6.85,14,10,3,0,0
2317,"High",848,21.82,3,5,7,0,0
2318,"Low",745,44.18,29,8,7,3,1
2319,"High",1618,81.53,8,0,0,2,0
2320,"High",632,4.04,22,10,8,2,0
2321,"Low",1741,22.82,30,0,6,5,1
2322,"Low",1342,51.26,29,0,0,5,1
2323,"High",887,0.57,18,11,7,0,0
2324,"High",1129,65.77,17,0,6,0,0
2325,"High",1507,43.4,21,5,0,4,0
2326,"High",512,57.63,22,1,1,5,0
2327,"High",569,20.81,22,7,9,0,0
2328,"High",1628,10.05,26,8,6,2,0
2329,"High",1397,89.25,2,1,8,1,0
2330,"Low",1361,23.37,20,11,2,4,0
2331,"High",89,8.93,7,9,9,1,0
2332,"Low",1298,43.27,17,1,9,2,0
2333,"High",748,4.81,22,2,9,3,0
2334,"High",990,74.64,22,4,8,5,0
2335,"Low",764,61.14,26,7,7,0,1
2336,"Low",1533,2.47,4,6,4,5,0
2337,"Low",1257,70.97,23,4,5,3,1
2338,"High",1593,75.06,7,11,9,5,0
2339,"High",1457,69.65,26,5,8,4,1
2340,"Low",1060,46.06,11,0,9,4,0
2341,"High",54,67.55,2,6,5,5,0
2342,"Low",599,81.33,19,1,8,0,0
2343,"Low",889,29.17,12,6,0,3,0
2344,"High",1665,59.54,24,2,10,1,0
2345,"Low",565,72.96,10,4,1,1,0
2346,"High",51,51.42,26,8,10,3,0
2347,"High",913,7.67,29,7,10,5,1
2348,"High",432,20.34,21,7,9,1,0
2349,"High",1418,24.15,7,11,5,5,0
2350,"High",644,52.61,5,0,6,4,0
2351,"Low",791,27.78,16,5,0,3,0
2352,"Low",936,38.46,13,8,9,3,0
2353,"High",1101,74.35,28,1,1,2,0
2354,"Low",12,30.88,18,2,0,0,0
2355,"High",333,36.72,28,0,1,2,0
2356,"Low",505,70.4,16,10,1,0,0
2357,"Low",1508,12.24,9,11,0,4,0
2358,"High",391,59.2,4,4,10,3,0
2359,"High",1027,54.8,21,2,6,2,0
2360,"High",1394,38.59,30,7,4,3,1
2361,"Low",658,38.64,24,5,8,5,1
2362,"High",1220,23.77,26,3,3,2,0
2363,"High",1070,84.76,11,3,9,4,0
2364,"Low",1744,13.44,18,3,4,4,0
2365,"Low",159,71.57,30,7,7,0,1
2366,"High",1135,90.25,4,10,0,4,0
2367,"Low",1798,27.72,10,0,7,0,0
2368,"Low",137,80.89,16,1,5,5,0
2369,"Low",120,21.33,7,7,5,2,0
2370,"Low",1184,33.92,16,11,3,2,0
2371,"High",566,13.8,14,3,1,2,0
2372,"High",144,59.15,4,1,3,3,0
2373,"High",89,71.68,6,7,7,5,0
2374,"High",579,69.23,24,3,0,2,0
2375,"Low",1682,52.6,30,5,6,2,1
2376,"Low",657,80.22,15,10,3,3,0
2377,"High",749,68.9,15,8,6,1,0
2378,"Low",338,25.64,23,8,9,4,1
2379,"Low",264,13.3,17,7,10,2,0
2380,"High",138,6.94,30,5,2,2,0
2381,"Low",1411,4.37,5,0,7,2,0
2382,"Low",272,16.04,16,2,7,0,0
2383,"High",110,65.3,30,5,8,2,0
2384,"High",1076,98.39,17,2,1,2,0
2385,"High",1572,30.5,11,1,9,5,0
2386,"High",540,48.53,10,7,10,4,0
2387,"Low",1813,40.94,9,8,1,0,0
2388,"High",395,45.81,13,10,7,1,0
2389,"High",1184,49.83,6,7,3,2,0
2390,"High",509,87.04,17,2,1,0,0
2391,"High",1810,97.49,4,11,7,3,0
2392,"Low",345,97.5,27,11,3,5,1
2393,"Low",848,15.32,16,11,7,1,0
2394,"Low",595,32.12,9,3,9,1,0
2395,"High",1088,64.6,30,9,3,5,1
2396,"Low",479,51.51,20,4,4,1,0
2397,"High",904,77.71,17,3,3,3,0
2398,"High",53,32.68,27,0,1,5,0
2399,"High",250,45.88,20,3,1,3,0
2400,"High",402,47.72,20,8,2,4,0
2401,"Low",1172,18.85,12,5,0,3,0
2402,"High",478,92.94,24,10,6,4,0
2403,"Low",194,48.39,14,11,7,3,0
2404,"Low",398,47.6,18,8,1,3,0
2405,"High",1754,48.35,16,11,0,1,0
2406,"Low",475,87.49,14,5,0,4,0
2407,"High",518,3.2,10,6,4,0,0
2408,"Low",1618,61.71,14,7,2,3,0
2409,"Low",1163,5.14,12,9,5,1,0
2410,"High",1581,27.2,15,5,3,5,0
2411,"Low",416,60.6,29,8,6,5,1
2412,"Low",1541,24.98,2,10,6,2,0
2413,"Low",1570,87.87,26,5,3,2,1
2414,"Low",951,34.22,27,4,6,0,1
2415,"High",580,42.43,21,1,1,5,0
2416,"High",1607,77.23,9,6,4,5,0
2417,"Low",258,44.61,13,6,9,2,0
2418,"High",24,61.28,4,4,6,3,0
2419,"High",330,49.94,26,6,9,1,0
2420,"High",1554,14.7,15,10,3,5,0
2421,"Low",323,19.94,5,0,6,5,0
2422,"High",1290,86.35,29,6,9,3,1
2423,"High",664,0.95,2,5,6,5,0
2424,"Low",243,58.68,26,0,9,5,0
2425,"Low",1526,30.39,1,1,2,4,0
2426,"High",1272,14.79,27,9,1,3,0
2427,"High",599,83.28,13,1,2,5,0
2428,"High",1217,31.87,12,9,9,4,0
2429,"High",385,94.17,1,8,0,4,0
2430,"High",938,0.76,25,11,6,3,0
2431,"Low",662,52.5,12,0,8,2,0
2432,"High",511,1.34,2,9,2,1,0
2433,"High",476,79.66,10,4,8,1,0
2434,"Low",913,36.03,3,2,4,2,0
2435,"High",791,85.5,10,2,7,1,0
2436,"Low",957,25.44,24,3,1,5,0
